"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"09/03/2009","54","PM2.5","San Francisco","06-075-0005","AQS","8","18",".","54","40"
"09/04/2009","43","PM2.5","San Francisco","06-075-0005","AQS","1","19","13","43","20"
"09/05/2009","34","PM2.5","San Francisco","06-075-0005","AQS","1","23",".","34","19"
"09/06/2009","38","PM2.5","San Francisco","06-075-0005","AQS","0","25",".","38","11"
"09/07/2009","52","PM2.5","San Francisco","06-075-0005","AQS","2","23",".","52","19"
"09/08/2009","58","PM2.5","San Francisco","06-075-0005","AQS","1","23",".","58","22"
"09/09/2009","55","PM2.5","San Francisco","06-075-0005","AQS","1","21",".","55","20"
"09/10/2009","52","PM2.5","San Francisco","06-075-0005","AQS","5","19","14","52","35"
"09/11/2009","43","PM2.5","San Francisco","06-075-0005","AQS","5","21",".","43","25"
"09/12/2009","38","PM2.5","San Francisco","06-075-0005","AQS","1","30",".","38","9"
"09/13/2009","32","PM2.5","San Francisco","06-075-0005","AQS","0","24",".","32","10"
"09/14/2009","45","PM2.5","San Francisco","06-075-0005","AQS","0","27",".","45","20"
"09/15/2009","43","PM2.5","San Francisco","06-075-0005","AQS","2","20",".","43","33"
"09/16/2009","38","PM2.5","San Francisco","06-075-0005","AQS","1","18","8","38","18"
"09/17/2009","55","PM2.5","San Francisco","06-075-0005","AQS","5","17",".","55","27"
"09/18/2009","70","PM2.5","San Francisco","06-075-0005","AQS","6","36",".","70","36"
"09/19/2009","53","PM2.5","San Francisco","06-075-0005","AQS","3","30",".","53","10"
"09/20/2009","58","PM2.5","San Francisco","06-075-0005","AQS","2","27",".","58","17"
"09/21/2009","45","PM2.5","San Francisco","06-075-0005","AQS","5","19",".","45","25"
"09/22/2009","48","PM2.5","San Francisco","06-075-0005","AQS","5","20","10","48","29"
"09/23/2009","40","PM2.5","San Francisco","06-075-0005","AQS","2","23",".","40","21"
"09/24/2009","52","PM2.5","San Francisco","06-075-0005","AQS","2","24",".","52","25"
"09/25/2009","56","PM2.5","San Francisco","06-075-0005","AQS","5","15",".","56","31"
"09/26/2009","58","PM2.5","San Francisco","06-075-0005","AQS","6","30",".","58","34"
"09/27/2009","76","PM2.5","San Francisco","06-075-0005","AQS","5","39",".","76","26"
"09/28/2009","60","PM2.5","San Francisco","06-075-0005","AQS","2","30","25","60","12"
"09/29/2009","45","PM2.5","San Francisco","06-075-0005","AQS","2","28",".","45","18"
"09/30/2009","49","PM2.5","San Francisco","06-075-0005","AQS","8","25",".","49","45"
"10/01/2009","53","PM2.5","San Francisco","06-075-0005","AQS","8","25",".","53","42"
"10/02/2009","61","PM2.5","San Francisco","06-075-0005","AQS","8","28",".","61","35"
"10/03/2009","54","PM2.5","San Francisco","06-075-0005","AQS","2","29",".","54","22"
"10/04/2009","50","PM2.5","San Francisco","06-075-0005","AQS","3","28","18","50","27"
"10/05/2009","52","PM2.5","San Francisco","06-075-0005","AQS","3","22",".","52","26"
"10/06/2009","56","PM2.5","San Francisco","06-075-0005","AQS","6","21",".","56","38"
"10/07/2009","55","PM2.5","San Francisco","06-075-0005","AQS","9","26",".","55","44"
"10/08/2009","41","PM2.5","San Francisco","06-075-0005","AQS","1","29",".","41","22"
"10/09/2009","45","PM2.5","San Francisco","06-075-0005","AQS","2","32",".","45","24"
"10/10/2009","51","PM2.5","San Francisco","06-075-0005","AQS","1","38","17","51","13"
"10/11/2009","44","PM2.5","San Francisco","06-075-0005","AQS","2","38",".","44","13"
"10/12/2009","34","PM2.5","San Francisco","06-075-0005","AQS","2","32",".","34","17"
"10/13/2009","28","Ozone","San Francisco","06-075-0005","AQS","1","28",".","21","9"
"10/14/2009","40","PM2.5","San Francisco","06-075-0005","AQS","1","23",".","40","28"
"10/15/2009","49","PM2.5","San Francisco","06-075-0005","AQS","5","9",".","49","29"
"10/16/2009","41","PM2.5","San Francisco","06-075-0005","AQS",".","13","13","41","26"
"10/17/2009","23","PM2.5","San Francisco","06-075-0005","AQS","3","9",".","23","16"
"10/18/2009","31","Ozone","San Francisco","06-075-0005","AQS","1","31",".","25","10"
"10/19/2009","36","NO2","San Francisco","06-075-0005","AQS","5","23",".","30","36"
"10/20/2009","48","PM2.5","San Francisco","06-075-0005","AQS","3","22",".","48","24"
"10/21/2009","30","PM2.5","San Francisco","06-075-0005","AQS","3","19",".","30","25"
"10/22/2009","56","PM2.5","San Francisco","06-075-0005","AQS","5","19","21","56","31"
"10/23/2009","62","PM2.5","San Francisco","06-075-0005","AQS","7","14",".","62","48"
"10/24/2009","44","PM2.5","San Francisco","06-075-0005","AQS","3","15",".","44","25"
"10/25/2009","59","PM2.5","San Francisco","06-075-0005","AQS","8","15",".","59","31"
"10/26/2009","53","PM2.5","San Francisco","06-075-0005","AQS","10","30",".","53","40"
"10/27/2009","31","Ozone","San Francisco","06-075-0005","AQS","2","31",".","23","19"
"10/28/2009","29","Ozone","San Francisco","06-075-0005","AQS","3","29","11","25","29"
"10/29/2009","56","NO2","San Francisco","06-075-0005","AQS","8","26",".","52","56"
"10/30/2009","53","PM2.5","San Francisco","06-075-0005","AQS","8","18",".","53","38"
"10/31/2009","47","PM2.5","San Francisco","06-075-0005","AQS","3","15",".","47","24"
"11/01/2009","52","PM2.5","San Francisco","06-075-0005","AQS","7","23",".","52","41"
"11/02/2009","55","PM2.5","San Francisco","06-075-0005","AQS","7","19",".","55","52"
"11/03/2009","67","PM2.5","San Francisco","06-075-0005","AQS","8","24","32","67","56"
"11/04/2009","49","PM2.5","San Francisco","06-075-0005","AQS","5","30",".","49","36"
"11/05/2009","27","PM2.5","San Francisco","06-075-0005","AQS","3","23",".","27","25"
"11/06/2009","29","NO2","San Francisco","06-075-0005","AQS","2","22",".","28","29"
"11/07/2009","40","PM2.5","San Francisco","06-075-0005","AQS","3","24",".","40","32"
"11/08/2009","39","PM2.5","San Francisco","06-075-0005","AQS","6","23",".","39","34"
"11/09/2009","56","PM2.5","San Francisco","06-075-0005","AQS","8","9","24","56","38"
"11/10/2009","57","PM2.5","San Francisco","06-075-0005","AQS","9","12",".","57","37"
"11/11/2009","45","PM2.5","San Francisco","06-075-0005","AQS","3","18",".","45","28"
