"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"11/17/2018","210","PM2.5","Concord","06-013-0002","AirNow",".","67",".",".","210","."
"11/18/2018","176","PM2.5","Livermore","06-001-0007","AirNow",".","77",".",".","176","."
"11/19/2018","176","PM2.5","San Pablo","06-013-1004","AirNow",".","61",".",".","176","."
"11/20/2018","157","PM2.5","Concord","06-013-0002","AirNow",".","43",".",".","157","."
"11/21/2018","84","PM2.5","Concord","06-013-0002","AirNow",".","33",".",".","84","."
"11/22/2018","34","Ozone","San Pablo","06-013-1004","AirNow",".","34",".",".","23","."
"11/23/2018","33","Ozone","San Francisco","06-075-0005","AirNow",".","33",".",".","23","."
"11/24/2018","31","Ozone","Hayward","06-001-2001","AirNow",".","31",".",".","28","."
"11/25/2018","45","PM2.5","Berkeley Aquatic Park","06-001-0013","AirNow",".","28",".",".","45","."
"11/26/2018","52","PM2.5","Berkeley Aquatic Park","06-001-0013","AirNow",".","25",".",".","52","."
"11/27/2018","46","PM2.5","Laney College","06-001-0012","AirNow",".","23",".",".","46","."
"11/28/2018","34","PM2.5","Berkeley Aquatic Park","06-001-0013","AirNow",".","31",".",".","34","."
